"","dyadID","gender","self_object_appearance","self_object_ability","other_object_appearance","other_object_ability","self_object.tavg","other_object.tavg","relation_qual.avg"
"308",33275392,1,5.8,5.2,5.6,5.4,-0.6,-0.199999999999999,8.7
"309",33303114,-1,6.2,4.8,6.2,4.8,-1.4,-1.4,4.9
"310",33303114,1,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,5.9
"311",33315985,-1,8,3,7.2,3.8,-5,-3.4,7.3
"312",33315985,1,7.8,3.2,7.6,3.4,-4.6,-4.2,8.1
"313",33548752,-1,6.6,4.4,5.2,5.8,-2.2,0.6,6.8
"314",33548752,1,6,5,5.2,5.8,-1,0.6,7.8
"315",33559952,1,5.4,5.6,5.2,5.8,0.199999999999999,0.6,7.8
"316",33559952,-1,4.2,6.8,6,5,2.6,-1,7.4
"317",33642604,-1,4.8,6.2,6.8,4.2,1.4,-2.6,7.7
"318",33642604,1,6.2,4.8,3.8,7.2,-1.4,3.4,7.4
"319",33666277,1,4.8,6.2,3.8,7.2,1.4,3.4,7
"320",33666277,-1,7.2,3.8,5,6,-3.4,1,8.6
"321",33672471,-1,6,5,6,5,-1,-1,7.9
"322",33672471,1,6,5,NA,NA,-1,NA,NA
"323",33676931,-1,7.6,3.4,8,3,-4.2,-5,8.3
"324",33676931,1,7.6,3.4,7.6,3.4,-4.2,-4.2,8.1
"325",33701176,1,6,5,5,6,-1,1,8.2
"326",33701176,-1,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,5.8
"327",33703379,-1,6.8,4.2,6.4,4.6,-2.6,-1.8,7.1
"328",33703379,1,7,4,8,3,-3,-5,7.8
"329",33703455,-1,7.8,3.2,5.8,5.2,-4.6,-0.6,8.3
"330",33703455,1,5.8,5.2,5.6,5.4,-0.6,-0.199999999999999,7.8
"331",33706512,1,7.4,3.6,5.2,5.8,-3.8,0.6,8.6
"332",33706512,-1,5.8,5.2,5,6,-0.6,1,8
"333",33711537,1,6.8,4.2,7.2,3.8,-2.6,-3.4,8.6
"334",33711537,-1,5.6,5.4,6.8,4.2,-0.199999999999999,-2.6,8.5
"335",33711907,-1,6.6,4.4,6,5,-2.2,-1,8.3
"336",33711907,1,6.8,4.2,6,5,-2.6,-1,9
"337",33718812,1,7.2,3.8,4.4,6.6,-3.4,2.2,NA
"338",33718812,-1,5.4,5.6,4.8,6.2,0.199999999999999,1.4,9
"339",33728504,-1,7.4,3.6,8,3,-3.8,-5,8.2
"340",33728504,1,NA,NA,NA,NA,NA,NA,NA
"341",33732206,-1,NA,NA,NA,NA,NA,NA,5.4
"342",33732206,1,NA,NA,NA,NA,NA,NA,5.3
"343",33735326,-1,5.6,5.4,6.4,4.6,-0.199999999999999,-1.8,6.7
"344",33735326,1,3.8,7.2,4.2,6.8,3.4,2.6,6.5
"345",33735733,1,5.8,5.2,5.2,5.8,-0.6,0.6,6.9
"346",33735733,-1,NA,NA,NA,NA,NA,NA,2.5
